PuV  3.0E-4M in ???
508.08383180  0.00127000
508.89804080  0.00137260
509.71221920  0.00150030
510.52639770  0.00166980
511.34057620  0.00158990
512.15478520  0.00190030
512.96893310  0.00200140
513.78314210  0.00216050
514.59729000  0.00228220
515.41149900  0.00254290
516.22564700  0.00284280
517.03985600  0.00287710
517.85400390  0.00304400
518.66821290  0.00295840
519.48242190  0.00295010
520.29656980  0.00276910
521.11077880  0.00260680
521.92492680  0.00213670
522.73913570  0.00195950
523.55328370  0.00169780
524.36749270  0.00139670
525.18164060  0.00125500
525.99584960  0.00104400
526.81005860  0.00092330
527.62420650  0.00090890
528.43841550  0.00083060
529.25256350  0.00085340
530.06677250  0.00087910
530.88092040  0.00090370
531.69512940  0.00089250
532.50927730  0.00097740
533.32348630  0.00089200
534.13769530  0.00097850
534.95184330  0.00107960
535.76605220  0.00121320
536.58020020  0.00118590
537.39440920  0.00125080
538.20855710  0.00136590
539.02276610  0.00135790
539.83691410  0.00155440
540.65112300  0.00157930
541.46533200  0.00171770
542.27948000  0.00182750
543.09368900  0.00193840
543.90783690  0.00210380
544.72204590  0.00230710
545.53619380  0.00248340
546.35040280  0.00263890
547.16455080  0.00288420
547.97875980  0.00303390
548.79296880  0.00316350
549.60711670  0.00339440
550.42132570  0.00358630
551.23547360  0.00360050
552.04968260  0.00379240
552.86383060  0.00371290
553.67803960  0.00381490
554.49218750  0.00366700
555.30639650  0.00352720
556.12060550  0.00338920
556.93475340  0.00320180
557.74896240  0.00309120
558.56311040  0.00304890
559.37731930  0.00315350
560.19146730  0.00330380
561.00567630  0.00360970
561.81982420  0.00413390
562.63403320  0.00483540
563.44824220  0.00585630
564.26239010  0.00704220
565.07659910  0.00846740
565.89074710  0.00965640
566.70495610  0.01056020
567.51910400  0.01114560
568.33331300  0.01102360
569.14746090  0.01052590
569.96166990  0.00979330
570.77587890  0.00865330
571.59002690  0.00746170
572.40423580  0.00633100
573.21838380  0.00514870
574.03259280  0.00425510
574.84674070  0.00341740
575.66094970  0.00271090
576.47509770  0.00216450
577.28930660  0.00175300
578.10351560  0.00146300
578.91766360  0.00119210
579.73187260  0.00090980
580.54602050  0.00086150
581.36022950  0.00064230
582.17437740  0.00057390
582.98858640  0.00047740
583.80273440  0.00054770
584.61694340  0.00046290
585.43115230  0.00036400
586.24530030  0.00040000
587.05950930  0.00037680
587.87365720  0.00037800
588.68786620  0.00037770
589.50201420  0.00047220
590.31622310  0.00052380
591.13037110  0.00055010
591.94458010  0.00058680
592.75878910  0.00063820
593.57293700  0.00063020
594.38714600  0.00064850
595.20129390  0.00071390
596.01550290  0.00065430
596.82965090  0.00069220
597.64385990  0.00070490
598.45800780  0.00072670
599.27221680  0.00074560
600.08642580  0.00069350
600.90057370  0.00080600
601.71478270  0.00078190
602.52893070  0.00074710
603.34313960  0.00077730
604.15728760  0.00086420
604.97149660  0.00077740
605.78564450  0.00074720
606.59985350  0.00077500
607.41406250  0.00080220
608.22821040  0.00089000
609.04241940  0.00096630
609.85656740  0.00097130
610.67077640  0.00094730
611.48492430  0.00104480
612.29913330  0.00098410
613.11328130  0.00097640
613.92749020  0.00091440
614.74169920  0.00097480
615.55584720  0.00094210
616.37005620  0.00101450
617.18420410  0.00104850
617.99841310  0.00100260
618.81256100  0.00112920
619.62677000  0.00108740
620.44091800  0.00110500
621.25512700  0.00122690
622.06933590  0.00117180
622.88348390  0.00126680
623.69769290  0.00137510
624.51184080  0.00135000
625.32604980  0.00139750
626.14019780  0.00136530
626.95440670  0.00142270
627.76855470  0.00147130
628.58276370  0.00140370
629.39697270  0.00146980
630.21112060  0.00145670
631.02532960  0.00146460
631.83947750  0.00139950
632.65368650  0.00139210
633.46783450  0.00136700
634.28204350  0.00133000
635.09625240  0.00133370
635.91040040  0.00128240
636.72460940  0.00124720
637.53875730  0.00116340
638.35296630  0.00116740
639.16711430  0.00110120
639.98132320  0.00105940
640.79547120  0.00104790
641.60968020  0.00101440
642.42388920  0.00093690
643.23803710  0.00098630
644.05224610  0.00087750
